,State,County,Abbreviation
100,California,Tulare,CA
101,California,Tuolumne,CA
102,California,Ventura,CA
103,California,Yolo,CA
104,Colorado,Adams,CO
105,Colorado,Alamosa,CO
106,Colorado,Arapahoe,CO
107,Colorado,Archuleta,CO
108,Colorado,Boulder,CO
109,Colorado,Chaffee,CO
110,Colorado,Clear Creek,CO
111,Colorado,Delta,CO
112,Colorado,Denver,CO
113,Colorado,Douglas,CO
114,Colorado,El Paso,CO
115,Colorado,Fremont,CO
116,Colorado,Garfield,CO
117,Colorado,Gunnison,CO
118,Colorado,Jackson,CO
119,Colorado,Jefferson,CO
120,Colorado,La Plata,CO
121,Colorado,Larimer,CO
122,Colorado,Mesa,CO
123,Colorado,Moffat,CO
124,Colorado,Montezuma,CO
125,Colorado,Park,CO
126,Colorado,Pitkin,CO
127,Colorado,Prowers,CO
128,Colorado,Pueblo,CO
129,Colorado,Rio Blanco,CO
130,Colorado,Routt,CO
131,Colorado,San Juan,CO
132,Colorado,San Miguel,CO
133,Colorado,Weld,CO
134,Connecticut,Fairfield,CT
135,Connecticut,Hartford,CT
136,Connecticut,Litchfield,CT
137,Connecticut,Middlesex,CT
138,Connecticut,New Haven,CT
139,Connecticut,New London,CT
140,Connecticut,Tolland,CT
141,Connecticut,Windham,CT
142,Country Of Mexico,BAJA CALIFORNIA NORTE,
143,Country Of Mexico,CHIHUAHUA STATE,
144,Delaware,Kent,DE
145,Delaware,New Castle,DE
146,Delaware,Sussex,DE
147,District Of Columbia,District of Columbia,
148,Florida,Alachua,FL
149,Florida,Baker,FL
150,Florida,Bay,FL
151,Florida,Brevard,FL
152,Florida,Broward,FL
153,Florida,Citrus,FL
154,Florida,Collier,FL
155,Florida,Columbia,FL
156,Florida,Duval,FL
157,Florida,Escambia,FL
158,Florida,Flagler,FL
159,Florida,Hamilton,FL
160,Florida,Highlands,FL
161,Florida,Hillsborough,FL
162,Florida,Holmes,FL
163,Florida,Indian River,FL
164,Florida,Lake,FL
165,Florida,Lee,FL
166,Florida,Leon,FL
167,Florida,Liberty,FL
168,Florida,Manatee,FL
169,Florida,Marion,FL
170,Florida,Martin,FL
171,Florida,Miami-Dade,FL
172,Florida,Nassau,FL
173,Florida,Okaloosa,FL
174,Florida,Orange,FL
175,Florida,Osceola,FL
176,Florida,Palm Beach,FL
177,Florida,Pasco,FL
178,Florida,Pinellas,FL
179,Florida,Polk,FL
180,Florida,Putnam,FL
181,Florida,Santa Rosa,FL
182,Florida,Sarasota,FL
183,Florida,Seminole,FL
184,Florida,St. Lucie,FL
185,Florida,Volusia,FL
186,Florida,Wakulla,FL
187,Georgia,Bibb,GA
188,Georgia,Charlton,GA
189,Georgia,Chatham,GA
190,Georgia,Chattooga,GA
191,Georgia,Clarke,GA
192,Georgia,Clayton,GA
193,Georgia,Cobb,GA
194,Georgia,Coffee,GA
195,Georgia,Columbia,GA
196,Georgia,Coweta,GA
197,Georgia,Dawson,GA
198,Georgia,DeKalb,GA
199,Georgia,Dougherty,GA
